Fold,Model,Accuracy,Method,K
42,guass_nb,0.8664,Feat_imp_score,2
43,SVM,0.8736,Feat_imp_score,2
43,guass_nb,0.872,Feat_imp_score,2
44,SVM,0.892,Feat_imp_score,2
44,guass_nb,0.8784,Feat_imp_score,2
45,SVM,0.884,Feat_imp_score,2
45,guass_nb,0.8856,Feat_imp_score,2
46,SVM,0.8808,Feat_imp_score,2
46,guass_nb,0.8776,Feat_imp_score,2
47,SVM,0.8696,Feat_imp_score,2
47,guass_nb,0.8688,Feat_imp_score,2
48,SVM,0.8688,Feat_imp_score,2
48,guass_nb,0.868,Feat_imp_score,2
49,SVM,0.8672,Feat_imp_score,2
49,guass_nb,0.864,Feat_imp_score,2
0,SVM,0.8832,Feat_imp_score,3
0,guass_nb,0.8824,Feat_imp_score,3
1,SVM,0.884,Feat_imp_score,3
1,guass_nb,0.8928,Feat_imp_score,3
2,SVM,0.888,Feat_imp_score,3
2,guass_nb,0.8992,Feat_imp_score,3
3,SVM,0.8944,Feat_imp_score,3
3,guass_nb,0.8976,Feat_imp_score,3
4,SVM,0.8992,Feat_imp_score,3
4,guass_nb,0.904,Feat_imp_score,3
5,SVM,0.8992,Feat_imp_score,3
5,guass_nb,0.9016,Feat_imp_score,3
6,SVM,0.896,Feat_imp_score,3
6,guass_nb,0.8944,Feat_imp_score,3
7,SVM,0.88,Feat_imp_score,3
7,guass_nb,0.8816,Feat_imp_score,3
8,SVM,0.8896,Feat_imp_score,3
8,guass_nb,0.892,Feat_imp_score,3
9,SVM,0.8856,Feat_imp_score,3
9,guass_nb,0.8872,Feat_imp_score,3
10,SVM,0.88,Feat_imp_score,3
10,guass_nb,0.892,Feat_imp_score,3
11,SVM,0.892,Feat_imp_score,3
11,guass_nb,0.892,Feat_imp_score,3
12,SVM,0.8968,Feat_imp_score,3
12,guass_nb,0.8976,Feat_imp_score,3
13,SVM,0.892,Feat_imp_score,3
13,guass_nb,0.8928,Feat_imp_score,3
14,SVM,0.8848,Feat_imp_score,3
14,guass_nb,0.8944,Feat_imp_score,3
15,SVM,0.8872,Feat_imp_score,3
15,guass_nb,0.8896,Feat_imp_score,3
16,SVM,0.8944,Feat_imp_score,3
16,guass_nb,0.8992,Feat_imp_score,3
17,SVM,0.9016,Feat_imp_score,3
17,guass_nb,0.8984,Feat_imp_score,3
18,SVM,0.8824,Feat_imp_score,3
18,guass_nb,0.8848,Feat_imp_score,3
19,SVM,0.8944,Feat_imp_score,3
19,guass_nb,0.9008,Feat_imp_score,3
20,SVM,0.8944,Feat_imp_score,3
20,guass_nb,0.8936,Feat_imp_score,3
21,SVM,0.8952,Feat_imp_score,3
21,guass_nb,0.9024,Feat_imp_score,3
22,SVM,0.896,Feat_imp_score,3
22,guass_nb,0.9072,Feat_imp_score,3
23,SVM,0.8824,Feat_imp_score,3
23,guass_nb,0.884,Feat_imp_score,3
24,SVM,0.888,Feat_imp_score,3
24,guass_nb,0.892,Feat_imp_score,3
25,SVM,0.8816,Feat_imp_score,3
25,guass_nb,0.8904,Feat_imp_score,3
26,SVM,0.8896,Feat_imp_score,3
26,guass_nb,0.8848,Feat_imp_score,3
27,SVM,0.884,Feat_imp_score,3
27,guass_nb,0.8864,Feat_imp_score,3
28,SVM,0.8816,Feat_imp_score,3
28,guass_nb,0.8832,Feat_imp_score,3
29,SVM,0.8848,Feat_imp_score,3
29,guass_nb,0.8872,Feat_imp_score,3
30,SVM,0.892,Feat_imp_score,3
